state,county,city,year,date,hour,minute,deaths,lat,lng
TEXAS,DALLAS,DALLAS,2016,2016-5-21,0,56,1,32.8603,-96.85714167
TEXAS,DALLAS,DALLAS,2017,2017-11-23,3,25,1,32.70604167,-96.73949167
TEXAS,DALLAS,DALLAS,2017,2017-11-3,21,55,1,32.66211389,-96.72675278
TEXAS,DALLAS,DALLAS,2017,2017-5-23,18,3,1,32.79295278,-96.74163611
TEXAS,TARRANT,FORT WORTH,2016,2016-1-22,16,12,1,32.98979722,-97.34425556
TEXAS,TARRANT,FORT WORTH,2015,2015-7-24,9,18,1,32.64829722,-97.368825
TEXAS,DALLAS,DALLAS,2017,2017-9-10,15,53,1,32.71278889,-96.70488333
TEXAS,DALLAS,DALLAS,2015,2015-12-15,19,23,1,32.92253056,-96.80360833
TEXAS,TARRANT,FORT WORTH,2018,2018-5-19,0,35,1,32.66721944,-97.2395
TEXAS,TARRANT,FORT WORTH,2016,2016-6-13,0,56,1,32.71999167,-97.22508611
TEXAS,DALLAS,DALLAS,2013,2013-9-8,1,23,1,32.90908056,-96.73650556
TEXAS,DALLAS,DALLAS,2016,2016-10-11,21,52,1,32.69281944,-96.77541944
TEXAS,DALLAS,DALLAS,2015,2015-12-29,19,10,1,32.91764444,-96.74482778
TEXAS,TARRANT,FORT WORTH,2016,2016-8-29,0,55,1,32.67744444,-97.269975
TEXAS,TARRANT,FORT WORTH,2014,2014-1-14,22,30,1,32.76007222,-97.21755556
TEXAS,DALLAS,DALLAS,2013,2013-11-23,23,50,1,32.75646389,-96.76761667
TEXAS,TARRANT,FORT WORTH,2012,2012-6-2,6,45,1,32.83973889,-97.30971944
TEXAS,DALLAS,DALLAS,2012,2012-10-27,6,44,1,32.89611111,-96.71288056
TEXAS,DALLAS,DALLAS,2016,2016-9-16,2,9,1,32.91650833,-96.74284444
TEXAS,DALLAS,DALLAS,2013,2013-12-30,1,33,1,32.77871944,-96.78350278
TEXAS,TARRANT,FORT WORTH,2017,2017-11-12,19,45,1,32.73505833,-97.32036389
TEXAS,DALLAS,DALLAS,2016,2016-12-20,5,15,1,32.79158333,-96.85666944
TEXAS,TARRANT,FORT WORTH,2018,2018-9-19,4,50,1,32.72120278,-97.3204
TEXAS,TARRANT,FORT WORTH,2015,2015-4-20,1,5,1,32.63932222,-97.37664722
TEXAS,DALLAS,DALLAS,2017,2017-4-8,23,15,1,32.79270278,-96.81373056
TEXAS,TARRANT,FORT WORTH,2016,2016-8-11,1,6,1,32.80436944,-97.36515833
